date,trade_return,direction,regime,exit_reason,entry_price,exit_price,quantity,bars_held,equity,drawdown
2023-01-03 16:14:00+00:00,687.5,short,is,,3851.25,3837.5,1,61,100687.5,0.0
2023-01-03 17:16:00+00:00,125.0,short,is,,3833.25,3830.75,1,61,100812.5,0.0
2023-01-03 18:18:00+00:00,500.0,short,is,,3831.25,3821.25,1,61,101312.5,0.0
2023-01-03 19:20:00+00:00,-400.0,short,is,,3821.25,3829.25,1,61,100912.5,-0.39481801357186924
2023-01-03 20:22:00+00:00,-400.0,short,is,,3829.75,3837.75,1,61,100512.5,-0.7896360271437385
2023-01-03 21:24:00+00:00,-237.5,short,is,,3837.5,3842.25,1,61,100275.0,-1.0240592227020358
2023-01-04 16:06:00+00:00,-625.0,short,is,,3851.0,3863.5,1,61,99650.0,-1.6409623689080814
2023-01-04 17:33:00+00:00,500.0,long,is,,3883.5,3893.5,1,61,100150.0,-1.147439851943245
2023-01-04 18:35:00+00:00,-250.0,long,is,,3892.5,3887.5,1,61,99900.0,-1.394201110425663
2023-01-04 19:37:00+00:00,-1550.0,long,is,,3887.75,3856.75,1,61,98350.0,-2.9241209130166563
2023-01-04 20:42:00+00:00,100.0,short,is,,3854.5,3852.5,1,61,98450.0,-2.8254164096236893
2023-01-04 21:44:00+00:00,-887.5,short,is,,3851.0,3868.75,1,61,97562.5,-3.701418877236274
2023-01-06 16:38:00+00:00,637.5,long,is,,3878.25,3891.0,1,61,98200.0,-3.0721776681061073
2023-01-06 17:40:00+00:00,-25.0,long,is,,3892.75,3892.25,1,61,98175.0,-3.0968537939543492
2023-01-06 18:42:00+00:00,725.0,long,is,,3888.5,3903.0,1,61,98900.0,-2.381246144355336
2023-01-06 19:44:00+00:00,787.5,long,is,,3903.0,3918.75,1,61,99687.5,-1.6039481801357187
2023-01-06 20:46:00+00:00,350.0,long,is,,3919.25,3926.25,1,61,100037.5,-1.2584824182603331
2023-01-06 21:48:00+00:00,-625.0,long,is,,3926.5,3914.0,1,61,99412.5,-1.8753855644663788
2023-01-09 16:02:00+00:00,537.5,long,is,,3953.25,3964.0,1,61,99950.0,-1.3448488587291796
2023-01-09 17:04:00+00:00,37.5,long,is,,3965.75,3966.5,1,61,99987.5,-1.3078346699568169
2023-01-09 18:06:00+00:00,-537.5,long,is,,3966.75,3956.0,1,61,99450.0,-1.8383713756940159
2023-01-09 19:08:00+00:00,-675.0,long,is,,3953.75,3940.25,1,61,98775.0,-2.504626773596545
2023-01-09 21:00:00+00:00,687.5,short,is,,3927.25,3913.5,1,61,99462.5,-1.8260333127698951
2023-01-09 23:02:00+00:00,-75.0,short,is,,3912.0,3913.5,1,61,99387.5,-1.9000616903146206
2023-01-10 16:14:00+00:00,-537.5,long,is,,3930.0,3919.25,1,61,98850.0,-2.43059839605182
2023-01-10 19:09:00+00:00,262.5,long,is,,3927.25,3932.5,1,61,99112.5,-2.1714990746452805
2023-01-10 20:11:00+00:00,-375.0,long,is,,3932.75,3925.25,1,61,98737.5,-2.5416409623689082
2023-01-10 21:16:00+00:00,575.0,long,is,,3929.75,3941.25,1,61,99312.5,-1.974090067859346
2023-01-11 16:55:00+00:00,-600.0,short,is,,3952.5,3964.5,1,61,98712.5,-2.5663170882171498
2023-01-11 18:13:00+00:00,275.0,long,is,,3967.75,3973.25,1,61,98987.5,-2.29487970388649
2023-01-11 19:15:00+00:00,-187.5,long,is,,3973.5,3969.75,1,61,98800.0,-2.4799506477483035
2023-01-11 20:17:00+00:00,600.0,long,is,,3970.0,3982.0,1,61,99400.0,-1.8877236273904998
2023-01-11 21:19:00+00:00,362.5,long,is,,3981.75,3989.0,1,61,99762.5,-1.5299198025909932
2023-01-12 18:12:00+00:00,350.0,long,is,,4004.25,4011.25,1,61,100112.5,-1.1844540407156077
2023-01-12 19:14:00+00:00,12.5,long,is,,4011.25,4011.5,1,61,100125.0,-1.172115977791487
2023-01-12 20:16:00+00:00,-775.0,long,is,,4013.0,3997.5,1,61,99350.0,-1.9370758790869833
2023-01-12 21:29:00+00:00,25.0,long,is,,4003.0,4003.5,1,61,99375.0,-1.9123997532387416
2023-01-13 16:07:00+00:00,250.0,long,is,,3988.5,3993.5,1,61,99625.0,-1.6656384947563232
2023-01-13 17:09:00+00:00,-137.5,long,is,,3995.0,3992.25,1,61,99487.5,-1.8013571869216534
2023-01-13 18:11:00+00:00,362.5,long,is,,3992.75,4000.0,1,61,99850.0,-1.4435533621221468
2023-01-13 19:13:00+00:00,350.0,long,is,,4000.75,4007.75,1,61,100200.0,-1.0980876002467614
2023-01-13 20:15:00+00:00,200.0,long,is,,4007.0,4011.0,1,61,100400.0,-0.9006785934608267
2023-01-13 21:17:00+00:00,200.0,long,is,,4011.25,4015.25,1,61,100600.0,-0.703269586674892
2023-01-16 16:39:00+00:00,-262.5,long,is,,4019.75,4014.5,1,61,100337.5,-0.9623689080814312
2023-01-16 17:41:00+00:00,25.0,short,is,,4014.25,4013.75,1,61,100362.5,-0.9376927822331894
2023-01-16 23:43:00+00:00,-62.5,short,is,,4013.75,4015.0,1,61,100300.0,-0.999383096853794
2023-01-17 16:02:00+00:00,-587.5,long,is,,4024.25,4012.5,1,61,99712.5,-1.579272054287477
2023-01-17 17:12:00+00:00,-400.0,short,is,,4005.5,4013.5,1,61,99312.5,-1.974090067859346
2023-01-17 18:28:00+00:00,-287.5,short,is,,4008.0,4013.75,1,61,99025.0,-2.257865515114127
2023-01-17 21:47:00+00:00,-62.5,short,is,,4008.25,4009.5,1,61,98962.5,-2.3195558297347314
2023-01-18 16:03:00+00:00,-1412.5,long,is,,4031.0,4002.75,1,61,97550.0,-3.7137569401603945
2023-01-18 17:05:00+00:00,1312.5,short,is,,4002.75,3976.5,1,61,98862.5,-2.418260333127699
