date,trade_return,direction,regime,exit_reason,entry_price,exit_price,quantity,bars_held,equity,drawdown
2024-01-01 23:52:00+00:00,-101.80000000000852,long,is,,71.98,71.88,1,28,99899.99999999999,0.0
2024-01-02 00:16:00+00:00,-122.49999999999034,short,is,,71.9,72.02,1,22,99780.0,-0.12012012012010556
2024-01-02 00:21:00+00:00,7.499999999990905,short,is,,72.05,72.04,1,3,99789.99999999999,-0.11011011011011011
2024-01-02 00:51:00+00:00,-52.49999999999716,long,is,,72.02,71.97,1,26,99740.0,-0.16016016016014561
2024-01-02 01:11:00+00:00,-571.7999999999931,short,is,,72.12,72.69,1,10,99170.0,-0.7307307307307163
2024-01-02 01:30:00+00:00,28.199999999986925,long,is,,72.46000000000001,72.49,1,9,99199.99999999999,-0.7007007007007008
2024-01-02 02:01:00+00:00,78.1999999999983,short,is,,72.56,72.48,1,7,99279.99999999999,-0.6206206206206207
2024-01-02 02:17:00+00:00,38.199999999992045,short,is,,72.58,72.54,1,5,99319.99999999999,-0.5805805805805806
2024-01-02 02:44:00+00:00,-141.80000000000058,short,is,,72.59,72.73,1,10,99179.99999999999,-0.7207207207207208
2024-01-02 03:02:00+00:00,28.200000000001136,long,is,,72.64,72.67,1,6,99209.99999999999,-0.6906906906906908
2024-01-02 03:42:00+00:00,8.200000000005115,short,is,,72.75,72.74,1,38,99219.99999999999,-0.6806806806806808
2024-01-02 04:08:00+00:00,8.200000000005115,long,is,,72.67,72.68,1,5,99229.99999999999,-0.6706706706706708
2024-01-02 04:36:00+00:00,-21.79999999999602,long,is,,72.66,72.64,1,11,99210.0,-0.6906906906906762
2024-01-02 05:20:00+00:00,-151.79999999999148,short,is,,72.68,72.83,1,40,99060.0,-0.8408408408408264
2024-01-02 05:32:00+00:00,-21.800000000010233,long,is,,72.82000000000001,72.8,1,9,99039.99999999999,-0.860860860860861
2024-01-02 05:48:00+00:00,48.19999999999716,long,is,,72.72,72.77,1,6,99089.99999999999,-0.8108108108108109
2024-01-02 06:03:00+00:00,-71.80000000000739,short,is,,72.77,72.84,1,4,99019.99999999999,-0.8808808808808809
2024-01-02 06:21:00+00:00,-1.8,short,is,,72.92,72.92,1,2,99019.99999999999,-0.8808808808808809
2024-01-02 06:35:00+00:00,-21.800000000010233,short,is,,72.94,72.96000000000001,1,8,98999.99999999997,-0.9009009009009157
2024-01-02 06:42:00+00:00,8.200000000005115,long,is,,72.92,72.93,1,3,99009.99999999997,-0.8908908908909056
2024-01-02 06:44:00+00:00,8.199999999990904,short,is,,72.97,72.96000000000001,1,1,99019.99999999997,-0.8808808808808956
2024-01-02 06:52:00+00:00,-11.800000000005117,short,is,,72.97,72.98,1,6,99009.99999999996,-0.8908908908909201
2024-01-02 07:17:00+00:00,-91.7999999999892,long,is,,72.94,72.85000000000001,1,15,98919.99999999997,-0.9809809809809956
2024-01-02 07:25:00+00:00,18.19999999999602,long,is,,72.81,72.83,1,4,98939.99999999997,-0.9609609609609757
2024-01-02 07:32:00+00:00,8.199999999990904,short,is,,72.86,72.85000000000001,1,4,98949.99999999996,-0.9509509509509801
2024-01-02 07:57:00+00:00,-121.79999999999033,long,is,,72.8,72.68,1,21,98829.99999999997,-1.0710710710710858
2024-01-02 08:07:00+00:00,-21.79999999999602,short,is,,72.72,72.74,1,6,98809.99999999997,-1.0910910910911058
2024-01-02 08:24:00+00:00,-71.79999999999318,long,is,,72.63,72.56,1,14,98739.99999999999,-1.1611611611611612
2024-01-02 08:32:00+00:00,78.1999999999983,long,is,,72.48,72.56,1,1,98819.99999999999,-1.0810810810810814
2024-01-02 09:01:00+00:00,-181.80000000000683,short,is,,72.66,72.84,1,26,98639.99999999997,-1.261261261261276
