bin,mean_return_bps,mean_abs_return_bps,mean_volume,observations
09:30,0.03694817985654301,4.8905319538069545,2345.769881889764,14732
10:00,-0.028133553033576165,4.355275552290059,1763.6814304461943,15240
10:30,-0.043486717085400306,3.664383046623485,1408.3397637795276,15240
11:00,0.09485244178370998,3.168043708434208,1140.038188976378,15240
11:30,0.06669428002927505,2.83819616634122,997.6783464566929,15240
12:00,0.01123493183458553,2.635427470578349,852.8636482939633,15240
12:30,0.027330527644262144,2.4809510373222996,781.022573659689,15239
13:00,0.018805165726232427,2.640198535554433,826.4603594438793,14745
13:30,0.04197732166845464,2.4744364044156026,772.3218132242672,14670
14:00,-0.025285134464698496,2.7724225956781012,852.0012951601909,14670
14:30,0.052422708214559154,2.6951864250436346,857.7389229720518,14670
15:00,-0.04467818893829464,2.736307108807717,883.3278118609406,14670
15:30,0.0002513298237126894,3.0605884881963745,1446.022767552829,14670
