sample,range_tercile,days,gross_mean_bps,gross_median_bps,positive_rate,gross_total_bps
IS_2023,low,82,-2.162767889636048,1.8965248373131738,0.524390243902439,-177.34696695015595
IS_2023,mid,81,-4.298602117174091,-2.912654627694744,0.4444444444444444,-348.18677149110135
IS_2023,high,81,2.308081864525037,-2.001334222815343,0.4567901234567901,186.95463102652798
OOS_2024,low,116,1.9284311185193577,-0.059003315986405624,0.49137931034482757,223.6980097482455
OOS_2024,mid,74,-6.0588328963215385,-4.17907313045196,0.35135135135135137,-448.3536343277938
OOS_2024,high,55,-3.348781629675032,-4.481822256201529,0.4727272727272727,-184.18298963212675
