date,trade_return,direction,regime,exit_reason,entry_price,exit_price,quantity,bars_held,equity,drawdown
2023-01-03 14:38:00+00:00,333.2,long,is,,11109.75,11126.5,1,4,100335.0,0.0
2023-01-03 14:44:00+00:00,908.2,long,is,,11122.5,11168.0,1,10,101245.0,0.0
2023-01-03 15:23:00+00:00,1748.2,short,is,,11028.5,10941.0,1,60,102995.0,0.0
2023-01-03 15:35:00+00:00,458.2,short,is,,10944.25,10921.25,1,14,103455.0,0.0
2023-01-03 15:56:00+00:00,58.2,short,is,,10945.25,10942.25,1,10,103515.0,0.0
2023-01-03 16:19:00+00:00,1043.2,short,is,,10966.75,10914.5,1,30,104560.0,0.0
2023-01-03 16:40:00+00:00,233.2,short,is,,10907.25,10895.5,1,24,104795.0,0.0
2023-01-03 17:06:00+00:00,128.2,short,is,,10883.0,10876.5,1,44,104925.0,0.0
2023-01-03 17:29:00+00:00,243.2,short,is,,10885.5,10873.25,1,24,105170.0,0.0
2023-01-03 17:56:00+00:00,778.2,short,is,,10895.5,10856.5,1,34,105950.0,0.0
2023-01-03 18:25:00+00:00,-31.8,short,is,,10861.75,10863.25,1,20,105920.0,-0.028315243039169418
2023-01-03 18:52:00+00:00,-26.8,short,is,,10891.25,10892.5,1,12,105895.0,-0.05191127890514394
2023-01-03 19:17:00+00:00,-201.8,short,is,,10903.25,10913.25,1,28,105695.0,-0.24067956583294006
2023-01-03 19:41:00+00:00,388.2,short,is,,10905.75,10886.25,1,36,106085.0,0.0
2023-01-03 20:01:00+00:00,33.2,short,is,,10951.0,10949.25,1,20,106120.0,0.0
2023-01-03 20:30:00+00:00,248.2,short,is,,10956.0,10943.5,1,20,106370.0,0.0
2023-01-04 14:30:00+00:00,-1501.8,short,is,,10958.75,11033.75,1,2026,104870.0,-1.4101720409890006
2023-01-04 14:44:00+00:00,-126.8,long,is,,11008.25,11002.0,1,16,104745.0,-1.527686377738084
2023-01-04 14:55:00+00:00,-96.8,long,is,,10985.0,10980.25,1,12,104650.0,-1.6169972736673877
2023-01-04 15:15:00+00:00,948.2,short,is,,10947.0,10899.5,1,28,105600.0,-0.7238883143743536
2023-01-04 15:29:00+00:00,438.2,short,is,,10919.0,10897.0,1,14,106040.0,-0.3102378490175801
2023-01-04 15:44:00+00:00,-251.8,short,is,,10905.25,10917.75,1,6,105790.0,-0.5452665225157469
2023-01-04 16:04:00+00:00,-226.8,long,is,,10962.75,10951.5,1,36,105565.0,-0.7567923286640971
2023-01-04 16:39:00+00:00,1908.2,long,is,,10954.75,11050.25,1,61,107625.0,0.0
2023-01-04 17:00:00+00:00,-66.8,long,is,,11050.25,11047.0,1,42,107410.0,-0.1997677119628339
2023-01-04 17:27:00+00:00,48.2,long,is,,11045.0,11047.5,1,18,107460.0,-0.15331010452961671
2023-01-04 17:51:00+00:00,-201.8,long,is,,11057.5,11047.5,1,22,107260.0,-0.33914053426248547
2023-01-04 18:42:00+00:00,588.2,long,is,,11001.75,11031.25,1,61,107850.0,0.0
2023-01-04 18:58:00+00:00,-151.8,long,is,,11031.0,11023.5,1,12,107700.0,-0.13908205841446453
2023-01-04 19:01:00+00:00,563.2,long,is,,11016.75,11045.0,1,2,108265.0,0.0
2023-01-04 19:09:00+00:00,-506.8,long,is,,11006.25,10981.0,1,4,107760.0,-0.46644806724241444
2023-01-04 19:21:00+00:00,613.2,long,is,,10980.75,11011.5,1,14,108375.0,0.0
2023-01-04 19:34:00+00:00,193.2,short,is,,10931.25,10921.5,1,16,108570.0,0.0
2023-01-04 19:50:00+00:00,-126.8,long,is,,10954.75,10948.5,1,16,108445.0,-0.1151330938564981
2023-01-04 20:06:00+00:00,893.2,long,is,,10956.25,11001.0,1,22,109340.0,0.0
2023-01-04 20:48:00+00:00,508.2,short,is,,10947.25,10921.75,1,28,109850.0,0.0
2023-01-05 14:30:00+00:00,-666.8,long,is,,10955.5,10922.25,1,1990,109185.0,-0.6053709604005462
2023-01-05 14:51:00+00:00,1583.2,short,is,,10914.0,10834.75,1,40,110770.0,0.0
2023-01-05 15:09:00+00:00,-571.8,short,is,,10860.0,10888.5,1,6,110200.0,-0.5145797598627788
2023-01-05 15:27:00+00:00,338.2,short,is,,10879.5,10862.5,1,20,110540.0,-0.20763744696217387
2023-01-05 15:41:00+00:00,473.2,short,is,,10867.25,10843.5,1,18,111015.0,0.0
2023-01-05 16:06:00+00:00,258.2,short,is,,10863.75,10850.75,1,36,111275.0,0.0
2023-01-05 16:29:00+00:00,233.2,short,is,,10855.25,10843.5,1,16,111510.0,0.0
2023-01-05 17:03:00+00:00,23.2,short,is,,10866.0,10864.75,1,18,111535.0,0.0
2023-01-05 17:24:00+00:00,173.2,short,is,,10862.0,10853.25,1,24,111710.0,0.0
2023-01-05 18:07:00+00:00,373.2,short,is,,10856.0,10837.25,1,56,112085.0,0.0
2023-01-05 18:20:00+00:00,143.2,short,is,,10833.0,10825.75,1,14,112230.0,0.0
